,Number plate,Speed,Time
0,'KL36E 6365,34484.29,1633133211.2573552
1,KL36 E6365,34484.29,1633133217.1320322
2,KL36E 6365,34484.29,1633133222.957084
3,KL36 E 6365,34484.29,1633133229.1494608
4,L36E6265,34484.29,1633133235.1682465
5,"KL, 36E6365",34484.29,1633133241.357041
6,KL36E.6365,34484.29,1633133247.5037508
7,EL36 E 6265,34484.29,1633133265.4460022
8,KL36E.6365,34484.29,1633133271.4853654
9,L36E 6365,34484.29,1633133277.6436307
10,"EXL36E,6365",34484.29,1633133289.6877685
11,1l26062c51,34484.29,1633133295.5077894
12,Tl36C0305,34484.29,1633133301.478594
13,36776365,34484.29,1633133307.435023
14,36 E 6365,34484.29,1633133313.2902555
15,36 E 6365,24288.32,1633133319.3620667
16,6 E6365,15533.6,1633133337.3030787
17,L36E 6365,6.94,1633133337.3030787
18,5 E6365,3.55,1633133337.3030787
19,KL36 E 6365,2.36,1633133337.3030787
20,KL36 E 6365,1.17,1633133337.3030787
21,L36 E 6365,1.0,1633133337.3030787
22,L36 E 63651,1.0,1633133337.3030787
23,KL36 E 6365,1.0,1633133337.3030787
24,KL36 E 6365,1.0,1633133337.3030787
25,ELJZR6093,1.0,1633133534.4316266
26,LLJZR 689,1.0,1633133546.4790258
27,1L223 6892,1.0,1633133558.3341134
28,L323 6893,1.0,1633133564.3851027
29,L3236893,1.0,1633133570.4118512
30,4L32R 6893,1.0,1633133576.4553335
31,KLJZR 6893,1.0,1633133582.458129
32,KL3Z R 6893,1.0,1633133588.4294965
33,KL3Z R 6893,1.0,1633133594.402394
34,KLJZ R 6893,1.0,1633133600.5067396
35,KL32 R 6893,1.0,1633133606.6422129
36,KL3Z R 6893,1.0,1633133612.8223796
37,KL32 R 6893,1.0,1633133631.1006985
38,L32 R6893,1.0,1633133636.950263
39,MJ 690n ,1.0,1633133642.8923254
40,TCJzt00+,1.0,1633133648.7400222
41,32R76893,1.0,1633133654.8058157
42,KL32 R 6893,1.0,1633133661.3561661
43,2 R 6893,32492.89,1633133667.2110608
44,L32 R 6893,13650.52,1633133673.062371
45,32 R 6893,9400.86,1633133679.0246558
46,32 R 6893,7.47,1633133679.0246558
47,2R 6893,3.54,1633133679.0246558
48,32 R 6893,2.38,1633133679.0246558
49,Z R 6893,1.32,1633133679.0246558
50,2R6893,1.11,1633133679.0246558
51,2R6893,0.95,1633133679.0246558
52,R 6893,0.95,1633133679.0246558
53,R 6893,0.95,1633133679.0246558
